COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,ELEMENTO,TIPO_VIVIENDA,TIPO_MEDIDA,AÑO,VALOR
08,Barcelona,08016,Bagà,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08218,Sant Joan de Vilatorrada,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08165,Pobla de Claramunt, La,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08196,Sant Andreu de la Barca,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08295,Vallirana,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08198,Sant Antoni de Vilamajor,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08107,Lliçà d'Amunt,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08156,Palau-solità i Plegamans,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08291,Vacarisses,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08123,Molins de Rei,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08014,Aiguafreda,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08037,Calldetenes,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08033,Caldes de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08040,Canet de Mar,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08262,Sant Vicenç de Castellet,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08268,Cercs,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08016,Bagà,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08069,Collbató,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08164,Pla del Penedès, El,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08213,Sant Fruitós de Bages,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08218,Sant Joan de Vilatorrada,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08196,Sant Andreu de la Barca,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08295,Vallirana,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08007,Arenys de Munt,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08198,Sant Antoni de Vilamajor,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08291,Vacarisses,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08123,Molins de Rei,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08037,Calldetenes,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08033,Caldes de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08040,Canet de Mar,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08064,Castellterçol,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08262,Sant Vicenç de Castellet,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08016,Bagà,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08218,Sant Joan de Vilatorrada,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08295,Vallirana,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08007,Arenys de Munt,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08198,Sant Antoni de Vilamajor,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08159,Parets del Vallès,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08083,Folgueroles,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08123,Molins de Rei,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08037,Calldetenes,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08281,Teià,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
